,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
41,Jan 7-9,89402192,-34.9,112291954,-29.5,99,True Grit,1,https://www.boxofficemojo.com/weekend/2011W01/?ref_=bo_wey_table_63,https://www.boxofficemojo.com/release/rl3564602881/?ref_=bo_wey_table_63
51,Jan 14-16,107824706,20.6,130305168,16.0,106,The Green Hornet,2,https://www.boxofficemojo.com/weekend/2011W02/?ref_=bo_wey_table_61,https://www.boxofficemojo.com/release/rl1247249921/?ref_=bo_wey_table_61
40,Jan 21-23,83445232,-22.6,102730950,-21.2,105,No Strings Attached,3,https://www.boxofficemojo.com/weekend/2011W03/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl878020097/?ref_=bo_wey_table_60
39,Jan 28-30,87300754,4.6,109215038,6.3,104,The Rite,4,https://www.boxofficemojo.com/weekend/2011W04/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl90998273/?ref_=bo_wey_table_59
38,Feb 4-6,68315090,-21.7,87257927,-20.1,114,The Roommate,5,https://www.boxofficemojo.com/weekend/2011W05/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl4201416193/?ref_=bo_wey_table_58
37,Feb 11-13,128358223,87.9,149414721,71.2,113,Just Go with It,6,https://www.boxofficemojo.com/weekend/2011W06/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl2456520193/?ref_=bo_wey_table_57
50,Feb 18-20,125712044,-2.1,144525447,-3.3,107,Unknown,7,https://www.boxofficemojo.com/weekend/2011W07/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl3631646209/?ref_=bo_wey_table_56
36,Feb 25-27,92540158,-26.4,109830377,-24.0,108,Hall Pass,8,https://www.boxofficemojo.com/weekend/2011W08/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl1062635009/?ref_=bo_wey_table_54
35,Mar 4-6,114398546,23.6,133918873,21.9,107,Rango,9,https://www.boxofficemojo.com/weekend/2011W09/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl3479864833/?ref_=bo_wey_table_53
34,Mar 11-13,111935077,-2.2,129391313,-3.4,118,Battle Los Angeles,10,https://www.boxofficemojo.com/weekend/2011W10/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl3225781761/?ref_=bo_wey_table_52
33,Mar 18-20,98816142,-11.7,114962242,-11.2,121,Limitless,11,https://www.boxofficemojo.com/weekend/2011W11/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl139232769/?ref_=bo_wey_table_51
32,Mar 25-27,104688038,5.9,121453235,5.6,126,Diary of a Wimpy Kid: Rodrick Rules,12,https://www.boxofficemojo.com/weekend/2011W12/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl3125773825/?ref_=bo_wey_table_50
31,Apr 1-3,110113006,5.2,124938387,2.9,125,Hop,13,https://www.boxofficemojo.com/weekend/2011W13/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl391874049/?ref_=bo_wey_table_49
30,Apr 8-10,98389397,-10.6,116090490,-7.1,125,Hop,14,https://www.boxofficemojo.com/weekend/2011W14/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl391874049/?ref_=bo_wey_table_48
29,Apr 15-17,110573140,12.4,130061017,12.0,116,Rio,15,https://www.boxofficemojo.com/weekend/2011W15/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl292324865/?ref_=bo_wey_table_47
49,Apr 22-24,114486342,3.5,136378142,4.9,128,Rio,16,https://www.boxofficemojo.com/weekend/2011W16/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl292324865/?ref_=bo_wey_table_46
28,Apr 29-May 1,140262298,22.5,158940090,16.5,120,Fast Five,17,https://www.boxofficemojo.com/weekend/2011W17/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl877889025/?ref_=bo_wey_table_44
27,May 6-8,152646352,8.8,166748986,4.9,128,Thor,18,https://www.boxofficemojo.com/weekend/2011W18/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl3094644225/?ref_=bo_wey_table_43
26,May 13-15,126805764,-16.9,140371451,-15.8,127,Thor,19,https://www.boxofficemojo.com/weekend/2011W19/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl3094644225/?ref_=bo_wey_table_42
25,May 20-22,156858984,23.7,167642580,19.4,120,Pirates of the Caribbean: On Stranger Tides,20,https://www.boxofficemojo.com/weekend/2011W20/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl4117267969/?ref_=bo_wey_table_41
48,May 27-29,213334314,36.0,223026879,33.0,109,The Hangover Part II,21,https://www.boxofficemojo.com/weekend/2011W21/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl408323585/?ref_=bo_wey_table_40
24,Jun 3-5,152390551,-28.6,159624804,-28.4,114,X-Men: First Class,22,https://www.boxofficemojo.com/weekend/2011W22/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl1434093057/?ref_=bo_wey_table_38
23,Jun 10-12,131188107,-13.9,138055726,-13.5,107,Super 8,23,https://www.boxofficemojo.com/weekend/2011W23/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl2255652353/?ref_=bo_wey_table_37
22,Jun 17-19,145208661,10.7,153747605,11.4,106,Green Lantern,24,https://www.boxofficemojo.com/weekend/2011W24/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl1280804353/?ref_=bo_wey_table_36
21,Jun 24-26,164865297,13.5,177057217,15.2,116,Cars 2,25,https://www.boxofficemojo.com/weekend/2011W25/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl3091760641/?ref_=bo_wey_table_35
47,Jul 1-3,186283764,13.0,202163864,14.2,106,Transformers: Dark of the Moon,26,https://www.boxofficemojo.com/weekend/2011W26/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl2977400321/?ref_=bo_wey_table_34
20,Jul 8-10,140474359,-24.6,156322000,-22.7,118,Transformers: Dark of the Moon,27,https://www.boxofficemojo.com/weekend/2011W27/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl2977400321/?ref_=bo_wey_table_32
19,Jul 15-17,248568927,76.9,262299124,67.8,120,Harry Potter and the Deathly Hallows: Part 2,28,https://www.boxofficemojo.com/weekend/2011W28/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl1265337857/?ref_=bo_wey_table_31
18,Jul 22-24,179068823,-28.0,190704210,-27.3,114,Captain America: The First Avenger,29,https://www.boxofficemojo.com/weekend/2011W29/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl1900578305/?ref_=bo_wey_table_30
17,Jul 29-31,167881029,-6.2,179729836,-5.8,122,Cowboys & Aliens,30,https://www.boxofficemojo.com/weekend/2011W30/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl2085455361/?ref_=bo_wey_table_29
16,Aug 5-7,154610555,-7.9,167357649,-6.9,125,Rise of the Planet of the Apes,31,https://www.boxofficemojo.com/weekend/2011W31/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl225216001/?ref_=bo_wey_table_28
15,Aug 12-14,134605986,-12.9,155403377,-7.1,129,Rise of the Planet of the Apes,32,https://www.boxofficemojo.com/weekend/2011W32/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl225216001/?ref_=bo_wey_table_27
14,Aug 19-21,97303811,-27.7,124210930,-20.1,126,The Help,33,https://www.boxofficemojo.com/weekend/2011W33/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl626624001/?ref_=bo_wey_table_26
13,Aug 26-28,69507839,-28.6,93298182,-24.9,131,The Help,34,https://www.boxofficemojo.com/weekend/2011W34/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl626624001/?ref_=bo_wey_table_25
46,Sep 2-4,76554062,10.1,107106553,14.8,130,The Help,35,https://www.boxofficemojo.com/weekend/2011W35/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl626624001/?ref_=bo_wey_table_24
12,Sep 9-11,60588164,-20.9,81936910,-23.5,139,Contagion,36,https://www.boxofficemojo.com/weekend/2011W36/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl3595208193/?ref_=bo_wey_table_22
