,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,RTLink,weekendlink,num1link
44,Jan 2-4,123210617,-27.5,153373765,-23.9,89,Marley & Me,1,https://www.rottentomatoes.com/m/marley_and_me,https://www.boxofficemojo.com/weekend/2009W01/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl1466140161/?ref_=bo_wey_table_60
43,Jan 9-11,121541116,-1.4,146505600,-4.5,92,Gran Torino,2,https://www.rottentomatoes.com/m/gran_torino,https://www.boxofficemojo.com/weekend/2009W02/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl240616961/?ref_=bo_wey_table_59
51,Jan 16-18,154456350,27.1,192904086,31.7,90,Paul Blart: Mall Cop,3,https://www.rottentomatoes.com/m/paul_blart_mall_cop,https://www.boxofficemojo.com/weekend/2009W03/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl4016080385/?ref_=bo_wey_table_58
42,Jan 23-25,118605040,-23.2,160294864,-16.9,91,Paul Blart: Mall Cop,4,https://www.rottentomatoes.com/m/paul_blart_mall_cop,https://www.boxofficemojo.com/weekend/2009W04/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl4016080385/?ref_=bo_wey_table_56
41,Jan 30-Feb 1,95933299,-19.1,126798123,-20.9,93,Taken,5,https://www.rottentomatoes.com/m/taken,https://www.boxofficemojo.com/weekend/2009W05/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl1635091969/?ref_=bo_wey_table_55
40,Feb 6-8,124041046,29.3,154595414,21.9,93,He's Just Not That Into You,6,https://www.rottentomatoes.com/m/hes_just_not_that_into_you,https://www.boxofficemojo.com/weekend/2009W06/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl1784251905/?ref_=bo_wey_table_54
50,Feb 13-15,151899971,22.5,188927999,22.2,93,Friday the 13th,7,https://www.rottentomatoes.com/m/friday_the_13th_prequel,https://www.boxofficemojo.com/weekend/2009W07/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl945128961/?ref_=bo_wey_table_52
39,Feb 20-22,112141559,-26.2,142472042,-24.6,95,Madea Goes to Jail,8,https://www.rottentomatoes.com/m/madea_goes_to_jail,https://www.boxofficemojo.com/weekend/2009W08/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl1113622017/?ref_=bo_wey_table_51
38,Feb 27-Mar 1,80508972,-28.2,111557492,-21.7,99,Madea Goes to Jail,9,https://www.rottentomatoes.com/m/madea_goes_to_jail,https://www.boxofficemojo.com/weekend/2009W09/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl1113622017/?ref_=bo_wey_table_50
37,Mar 6-8,97720570,21.4,116828485,4.7,110,Watchmen,10,https://www.rottentomatoes.com/m/watchmen,https://www.boxofficemojo.com/weekend/2009W10/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl41453057/?ref_=bo_wey_table_49
