,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,RTLink,weeknum,weekendlink,num1link
44,Jan 4-6,116465689,-25.0,147632550,-18.7,96,Texas Chainsaw 3D,https://www.rottentomatoes.com/m/texas_chainsaw,1,https://www.boxofficemojo.com/weekend/2013W01/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl930383361/?ref_=bo_wey_table_60
43,Jan 11-13,112186149,-3.7,140670134,-4.7,95,Zero Dark Thirty,https://www.rottentomatoes.com/m/zero_dark_thirty,2,https://www.boxofficemojo.com/weekend/2013W02/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl1447527937/?ref_=bo_wey_table_59
51,Jan 18-20,107738398,-4.0,139772817,-0.6,92,Mama,https://www.rottentomatoes.com/m/mama_2013,3,https://www.boxofficemojo.com/weekend/2013W03/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3814753793/?ref_=bo_wey_table_58
42,Jan 25-27,81203152,-24.6,112228923,-19.7,91,Hansel & Gretel: Witch Hunters,https://www.rottentomatoes.com/m/hansel_and_gretel_witch_hunters,4,https://www.boxofficemojo.com/weekend/2013W04/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl139888129/?ref_=bo_wey_table_56
41,Feb 1-3,64959191,-20.0,88701777,-21.0,98,Warm Bodies,https://www.rottentomatoes.com/m/warm_bodies,5,https://www.boxofficemojo.com/weekend/2013W05/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl712541697/?ref_=bo_wey_table_55
40,Feb 8-10,82382252,26.8,104216107,17.5,101,Identity Thief,https://www.rottentomatoes.com/m/identity_thief,6,https://www.boxofficemojo.com/weekend/2013W06/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl777750017/?ref_=bo_wey_table_54
50,Feb 15-17,121272933,47.2,141278049,35.6,99,A Good Day to Die Hard,https://www.rottentomatoes.com/m/a_good_day_to_die_hard,7,https://www.boxofficemojo.com/weekend/2013W07/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl3041887745/?ref_=bo_wey_table_52
39,Feb 22-24,84217867,-30.6,103534297,-26.7,94,Identity Thief,https://www.rottentomatoes.com/m/identity_thief,8,https://www.boxofficemojo.com/weekend/2013W08/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl777750017/?ref_=bo_wey_table_51
38,Mar 1-3,87821690,4.3,109621873,5.9,106,Jack the Giant Slayer,https://www.rottentomatoes.com/m/jack_the_giant_slayer,9,https://www.boxofficemojo.com/weekend/2013W09/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl2254079489/?ref_=bo_wey_table_50
37,Mar 8-10,124576195,41.9,140687760,28.3,112,Oz the Great and Powerful,https://www.rottentomatoes.com/m/oz_the_great_and_powerful,10,https://www.boxofficemojo.com/weekend/2013W10/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl1567196673/?ref_=bo_wey_table_49
36,Mar 15-17,92776114,-25.5,107411683,-23.7,108,Oz the Great and Powerful,https://www.rottentomatoes.com/m/oz_the_great_and_powerful,11,https://www.boxofficemojo.com/weekend/2013W11/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl1567196673/?ref_=bo_wey_table_48
35,Mar 22-24,127241394,37.1,138891569,29.3,121,The Croods,https://www.rottentomatoes.com/m/the-croods,12,https://www.boxofficemojo.com/weekend/2013W12/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl3192751617/?ref_=bo_wey_table_47
49,Mar 29-31,137577314,8.1,147258977,6.0,120,G.I. Joe: Retaliation,https://www.rottentomatoes.com/m/gi_joe_retaliation,13,https://www.boxofficemojo.com/weekend/2013W13/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl810845697/?ref_=bo_wey_table_45
34,Apr 5-7,124827157,-9.3,134763712,-8.5,127,Evil Dead,https://www.rottentomatoes.com/m/the_evil_dead_2013,14,https://www.boxofficemojo.com/weekend/2013W14/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl2085651969/?ref_=bo_wey_table_44
33,Apr 12-14,104482953,-16.3,116712085,-13.4,122,42,https://www.rottentomatoes.com/m/42_2013,15,https://www.boxofficemojo.com/weekend/2013W15/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl4181820929/?ref_=bo_wey_table_43
32,Apr 19-21,96489683,-7.7,110719635,-5.1,120,Oblivion,https://www.rottentomatoes.com/m/oblivion_2013,16,https://www.boxofficemojo.com/weekend/2013W16/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl744916481/?ref_=bo_wey_table_42
31,Apr 26-28,78125503,-19.0,92351407,-16.6,120,Pain & Gain,https://www.rottentomatoes.com/m/pain_and_gain,17,https://www.boxofficemojo.com/weekend/2013W17/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl1315538433/?ref_=bo_wey_table_41
30,May 3-5,208434380,166.8,217475021,135.5,119,Iron Man 3,https://www.rottentomatoes.com/m/iron_man_3,18,https://www.boxofficemojo.com/weekend/2013W18/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl1532659201/?ref_=bo_wey_table_40
29,May 10-12,150642459,-27.7,158347179,-27.2,121,Iron Man 3,https://www.rottentomatoes.com/m/iron_man_3,19,https://www.boxofficemojo.com/weekend/2013W19/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl1532659201/?ref_=bo_wey_table_39
28,May 17-19,146889482,-2.5,153855241,-2.8,112,Star Trek Into Darkness,https://www.rottentomatoes.com/m/star_trek_into_darkness,20,https://www.boxofficemojo.com/weekend/2013W20/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl2893252097/?ref_=bo_wey_table_38
